Tier,Route,RouteName,Company,WhatTheyDo,Street,Town,State,ZIP,Phone,ITContact,OwnerExec,DoorOpener,EmpEst,RevenueUSD,Founded,ParentOwnership,Website,Notes,ZoomInfoID
A,R1,"Rockland: Exit 14 corridor (Hingham St, Ledgewood Pl, Reservoir Park)",Cutter Associates,Investment management research and consulting,"1050 Hingham St, Fl 1",Rockland,MA,02370,(339) 469-0600,,Cindy Castellano (Chief Executive Officer),Financial services firm handling asset manager data. Lead with security posture and M365 hardening.,97,26372000,1998,Nomura Research Institute,cutterassociates.com,Owned by Nomura Research Institute since 2022. Local office still runs day to day here. Hybrid workforce.,19993081
A,R1,"Rockland: Exit 14 corridor (Hingham St, Ledgewood Pl, Reservoir Park)",FINTRX,Family office and RIA data platform (SaaS),"40 Reservoir Park Dr, Ste A",Rockland,MA,02370,(617) 517-0789,Bruno Bonifacini (Software Developer & Security Integrations Specialist),Dennis Caulfield (Chief Product & Data Officer),Growing fintech with SOC 2 expectations from clients. Lead with co-managed security and compliance.,85,17855000,2014,,fintrx.com,Has developers but likely thin IT ops. Good co-managed fit. Fast growth company.,461888001
B,R1,"Rockland: Exit 14 corridor (Hingham St, Ledgewood Pl, Reservoir Park)",The Catered Affair,"High end catering and events company, HQ",70 Ledgewood Pl,Rockland,MA,02370,(781) 982-9333,"Gare Reid (Manager, Systems Integration)",Holly Safford (Founder & President),Seasonal staff surges and POS plus office systems. Lead with device turnaround and help desk overflow.,320,58320000,1980,,thecateredaffair.com,Runs venues across Boston area from this HQ. Employee count includes event staff.,7012563
B,R1,"Rockland: Exit 14 corridor (Hingham St, Ledgewood Pl, Reservoir Park)",ControlPoint Technologies,Electrical engineering and utility consulting,"200 Ledgewood Pl, Ste 300",Rockland,MA,02370,(781) 261-9666,"Adam Houghton (Director, System Planning)",Jeffrey Flint (President),"Engineers with CAD workstations and utility client data. Lead with backup, DR and project file uptime.",74,9809000,1999,,cpteng.com,"Same building as Food Tech. Two stops, one parking lot.",9470939
B,R1,"Rockland: Exit 14 corridor (Hingham St, Ledgewood Pl, Reservoir Park)",Burke & Associates CPAs,CPA and advisory firm,"300 Ledgewood Pl, Ste 300",Rockland,MA,02370,(781) 741-8887,,,CPA firms must have a written security plan under FTC Safeguards. Ask who maintains their WISP.,27,5377000,1997,,burkeandassoc.com,Tax season uptime is everything. Best visited May through November.,44551959
C,R1,"Rockland: Exit 14 corridor (Hingham St, Ledgewood Pl, Reservoir Park)",EMD Serono,Biopharma R&D campus (Merck KGaA),1 Technology Pl,Rockland,MA,02370,(800) 283-8088,"Richard Feldman (Vice President, Trade Product Security & Done)",,Enterprise IT runs from global. Networking value only. Do not cold walk in past security.,2105,758493000,1981,Merck KGaA,emdserono.com,Long shot. Better reached through events or referrals than a lobby visit.,92047565
C,R1,"Rockland: Exit 14 corridor (Hingham St, Ledgewood Pl, Reservoir Park)",Food Tech,Design build firm for food processing facilities,"200 Ledgewood Pl, Ste 200",Rockland,MA,02370,(781) 261-9700,"Leanda Karunia (Manager, Process & System Cum PA)",Jonathan Kohan (President),Project teams in the field need reliable laptops and file access. Lead with device management.,40,3149000,2008,EMCOR Group,foodtech.com,"EMCOR subsidiary, so corporate IT may exist. Local office worth a walk in while next door.",27002672
A,R2,Rockland: Weymouth St / VFW Dr industrial + Union St center,Rockland Federal Credit Union,"Credit union, main office",241 Union St,Rockland,MA,02370,(781) 878-0232,Mark Federico (Chief Information Officer),Kristin VanBeek (Chief Executive Officer & President),"NCUA exams and vendor management pressure. Lead with vCISO, compliance alignment and MDR.",297,73741000,1922,,rfcu.com,"Has internal IT led by a senior VP. Co-managed and security services angle, not full outsource.",59785848
A,R2,Rockland: Weymouth St / VFW Dr industrial + Union St center,UPPAbaby,"Premium stroller and car seat brand, global HQ",276 Weymouth St,Rockland,MA,02370,(781) 413-3000,"Darrell Van Meter (Director, Information Technology)",Bob Monahan (Chief Executive Officer & Co-Founder),"Consumer brand with e-commerce, EDI and product data to protect. Lead with security and uptime.",136,21613000,2006,,uppababy.com,Flagship local HQ. CPSC regulated products mean documentation and systems matter.,353910475
A,R2,Rockland: Weymouth St / VFW Dr industrial + Union St center,Polymer Corporation,Custom plastics and thermoforming manufacturer,180 Pleasant St,Rockland,MA,02370,(781) 871-4606,Ashwani Sharma (System Engineer),Jim Ryan (President),"100 person manufacturer, likely 0 to 2 IT staff. Lead with co-managed support and plant uptime.",103,26997000,1979,,polymercorporation.com,Classic ICP manufacturer. Strong first stop.,343688307
